uid,domain,file_path,var_name,fs_out,BPFO_main_e,BPFO_sb_fr_e,BPFI_main_e,BPFI_sb_fr_e,BSF_main_e,BSF_sb_fr_e,FTF_main_e,BPFI_sbfr_ratio,BPFO_sbfr_ratio,BSF_sbftf_ratio,label,sensor,load_hp,rpm,BPFO,BPFI,BSF,FTF,fr_hz,fault_size_in,bearing_type
B007_0:X118_BA_time:00000,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,32.722382476577806,173.2936986138636,39.71006980279479,248.72775397081114,17.004450039922524,,0.0,6.2635939751812195,5.295876568214575,12.321849150692632,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00001,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,28.672906723297768,202.0949390944294,41.26117050019701,315.2180987532811,18.323564371575426,,0.0,7.6395820800036685,7.048289210602426,10.857960701961144,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00002,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,50.92353446097897,202.3413416390864,81.9485427192395,284.55718265871684,17.98666754890827,,0.0,3.472388565024596,3.973434754300763,11.265843509415108,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00003,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,33.11487728629256,231.89757412212245,66.89809279708439,331.2545997554207,15.805381900451314,,0.0,4.951629947959559,7.002821484653763,12.36945806616258,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00004,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,33.53239118697292,258.0651659494784,70.12837974329828,323.6451015560074,9.631846717075941,,0.0,4.615037488969451,7.695996522005706,21.92353353921691,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00005,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,29.650896736968843,188.4588054425086,40.45887180280975,341.5154244427168,16.00962765954745,,0.0,8.441051596970123,6.355922625690356,12.772790416127618,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00006,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,42.914994154612586,212.859603792985,55.19467498376048,314.9953561532881,13.717661763713302,,0.0,5.706988151410745,4.9600287262326574,13.51277058788029,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00007,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,35.31734465145868,191.92106615031395,56.03895457764917,334.0522945836082,8.73975023591829,,0.0,5.9610729197443515,5.434187310635971,23.79245394467346,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00008,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,47.82199126276822,190.16343404429074,46.88802143005792,304.36656498132237,14.229303356965588,,0.0,6.491350150812845,3.976485065195149,15.500530554404753,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
B007_0:X118_BA_time:00009,source,/Users/hanibote/Desktop/Modeling/数据集/源域数据集/12kHz_DE_data/B/0007/B007_0.mat,X118_BA_time,32000,29.973635950955178,193.63282783854268,46.65028283527016,306.9265617189549,13.109285064139792,,0.0,6.5793076282680465,6.460104745229353,16.495240405248598,B,BA,0.0,1796,107.304,162.096,70.545,11.923,29.933,0.007,DE
